"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISBANK","EQ","09-Jul-2020","        444.15","        447.85","        457.00","        446.05","        453.80","        453.75","        452.36","   29162682","         13191984722.60","     248173","    6984633","         23.95"
"AXISBANK","EQ","10-Jul-2020","        453.75","        449.90","        451.45","        437.00","        439.40","        439.60","        443.12","   25676461","         11377760889.55","     322643","    5559514","         21.65"
"AXISBANK","EQ","13-Jul-2020","        439.60","        443.95","        446.40","        432.75","        441.00","        440.05","        439.02","   21326996","          9363067006.65","     240240","    3355967","         15.74"
"AXISBANK","EQ","14-Jul-2020","        440.05","        434.90","        435.80","        415.40","        418.50","        417.70","        422.06","   25686686","         10841270033.50","     264579","    6357440","         24.75"
"AXISBANK","EQ","15-Jul-2020","        417.70","        424.00","        444.45","        422.75","        429.00","        426.65","        434.49","   43250557","         18791936051.35","     335522","    9206129","         21.29"
"AXISBANK","EQ","16-Jul-2020","        426.65","        431.95","        436.15","        418.45","        432.00","        434.00","        426.78","   30183798","         12881755479.25","     234710","    4168147","         13.81"
"AXISBANK","EQ","17-Jul-2020","        434.00","        434.00","        439.90","        424.60","        434.50","        433.10","        431.92","   33465094","         14454278423.15","     263202","    8106072","         24.22"
"AXISBANK","EQ","20-Jul-2020","        433.10","        437.70","        442.80","        429.30","        434.55","        434.00","        435.38","   30400830","         13236004375.10","     266406","    5802030","         19.09"
"AXISBANK","EQ","21-Jul-2020","        434.00","        440.00","        451.00","        438.50","        445.90","        446.20","        444.56","   43147781","         19181792033.60","     575785","   11022992","         25.55"
"AXISBANK","EQ","22-Jul-2020","        446.20","        478.00","        484.60","        460.10","        476.00","        478.95","        471.33","   89612153","         42237156272.15","     680342","   18041167","         20.13"
"AXISBANK","EQ","23-Jul-2020","        478.95","        472.95","        474.75","        459.20","        460.90","        460.85","        465.01","   40250274","         18716611547.00","     359159","   10296393","         25.58"
"AXISBANK","EQ","24-Jul-2020","        460.85","        456.60","        456.60","        441.55","        445.95","        445.60","        446.76","   30567381","         13656212424.95","     315058","    6083457","         19.90"
